SO2,CO,O3,NO2,PM10,PM25,기온(°C),강수량(mm),풍속(m/s),습도(%),month,day,hour,PM10_lag1
0.003,0.4,0.031,0.01,25.0,9.0,-4.1,0.0,2.3,39,1,2,1,25.0
0.003,0.4,0.017,0.022,29.0,12.0,-5.0,0.0,2.7,42,1,2,2,27.0
0.002,0.4,0.027,0.014,24.0,13.0,-5.8,0.0,1.9,45,1,2,3,23.0
0.003,0.4,0.031,0.01,20.0,8.0,-6.3,0.0,1.7,45,1,2,4,24.0
0.002,0.4,0.026,0.014,19.0,7.0,-6.6,0.0,1.1,40,1,2,5,26.0
0.003,0.5,0.019,0.022,21.0,8.0,-6.6,0.0,2.7,35,1,2,6,27.0
0.003,0.4,0.018,0.023,19.0,9.0,-7.4,0.0,1.5,38,1,2,7,30.0
0.003,0.5,0.015,0.026,21.0,8.0,-8.3,0.0,1.3,41,1,2,8,33.0
0.002,0.4,0.024,0.017,18.0,6.0,-7.6,0.0,2.0,39,1,2,9,35.0
0.003,0.4,0.028,0.013,25.0,12.0,-6.0,0.0,2.3,35,1,2,10,44.0
0.003,0.4,0.027,0.015,22.0,12.0,-5.3,0.0,3.2,32,1,2,11,42.0
0.003,0.4,0.03,0.013,25.0,13.0,-3.2,0.0,3.0,33,1,2,12,36.0
0.004,0.4,0.033,0.01,29.0,12.0,-2.3,0.0,2.5,31,1,2,13,29.0
0.003,0.4,0.036,0.008,43.0,18.0,-1.5,0.0,4.4,31,1,2,14,30.0
0.004,0.4,0.035,0.009,44.0,16.0,-2.3,0.0,5.2,33,1,2,15,33.0
0.004,0.4,0.032,0.011,48.0,12.0,-1.7,0.0,3.4,34,1,2,16,26.0
0.003,0.4,0.03,0.013,57.0,17.0,-2.3,0.0,4.5,35,1,2,17,28.0
0.003,0.5,0.027,0.017,57.0,16.0,-3.2,0.0,2.7,39,1,2,18,27.0
0.002,0.5,0.025,0.016,48.0,15.0,-3.8,0.0,2.8,50,1,2,19,27.0
0.003,0.4,0.027,0.013,55.0,14.0,-4.2,0.0,2.9,41,1,2,20,27.0
0.002,0.4,0.028,0.013,62.0,12.0,-5.0,0.0,2.3,39,1,2,21,26.0
0.003,0.4,0.029,0.01,65.0,14.0,-5.5,0.0,2.8,42,1,2,22,28.0
0.003,0.4,0.031,0.009,65.0,13.0,-6.1,0.0,1.9,45,1,2,23,34.0
0.002,0.4,0.029,0.008,66.0,14.0,-6.6,0.0,3.8,45,1,3,0,32.0
0.003,0.4,0.03,0.008,52.0,12.0,-7.3,0.0,2.4,48,1,3,1,25.0
0.003,0.4,0.025,0.012,48.0,13.0,-7.7,0.0,2.0,50,1,3,2,29.0
0.003,0.4,0.027,0.01,46.0,13.0,-8.0,0.0,2.2,51,1,3,3,24.0
0.003,0.4,0.026,0.011,48.0,12.0,-8.3,0.0,1.6,52,1,3,4,20.0
0.003,0.4,0.025,0.011,49.0,12.0,-8.8,0.0,1.0,53,1,3,5,19.0
0.003,0.5,0.017,0.019,47.0,14.0,-9.0,0.0,1.3,53,1,3,6,21.0
0.003,0.5,0.017,0.021,47.0,13.0,-8.7,0.0,1.1,54,1,3,7,19.0
0.003,0.4,0.018,0.021,44.0,12.0,-8.7,0.0,0.9,58,1,3,8,21.0
0.004,0.4,0.027,0.014,39.0,12.0,-7.6,0.0,1.8,57,1,3,9,18.0
0.003,0.4,0.032,0.009,36.0,12.0,-5.7,0.0,2.6,46,1,3,10,25.0
0.003,0.3,0.035,0.008,22.0,9.0,-4.2,0.0,1.9,39,1,3,11,22.0
0.003,0.4,0.032,0.011,24.0,12.0,-3.1,0.0,2.9,33,1,3,12,25.0
0.003,0.4,0.033,0.01,26.0,12.0,-2.4,0.0,3.1,30,1,3,13,29.0
0.003,0.4,0.033,0.01,27.0,11.0,-2.3,0.0,3.6,30,1,3,14,43.0
0.003,0.4,0.031,0.012,28.0,13.0,-2.4,0.0,3.7,33,1,3,15,44.0
0.004,0.5,0.028,0.016,29.0,14.0,-2.3,0.0,2.5,35,1,3,16,48.0
0.004,0.5,0.025,0.018,32.0,17.0,-2.6,0.0,1.9,36,1,3,17,57.0
0.003,0.5,0.021,0.022,38.0,18.0,-3.6,0.0,2.1,40,1,3,18,57.0
0.003,0.5,0.018,0.025,34.0,17.0,-4.4,0.0,1.1,41,1,3,19,48.0
0.003,0.6,0.013,0.03,36.0,18.0,-4.9,0.0,1.4,43,1,3,20,55.0
0.003,0.7,0.006,0.038,34.0,18.0,-5.3,0.0,0.7,45,1,3,21,62.0
0.003,0.6,0.013,0.028,36.0,19.0,-5.9,0.0,1.1,50,1,3,22,65.0
0.004,0.6,0.005,0.038,33.0,18.0,-5.3,0.0,3.2,44,1,3,23,65.0
0.003,0.6,0.011,0.031,36.0,18.0,-6.2,0.0,0.5,48,1,4,0,66.0
0.003,0.6,0.008,0.034,32.0,18.0,-6.5,0.0,1.3,49,1,4,1,52.0
0.003,0.7,0.006,0.037,31.0,19.0,-7.0,0.0,0.5,51,1,4,2,48.0
0.003,0.7,0.004,0.04,33.0,19.0,-7.1,0.0,0.9,54,1,4,3,46.0
0.003,0.7,0.01,0.033,38.0,21.0,-7.4,0.0,1.3,56,1,4,4,48.0
0.004,0.7,0.01,0.033,36.0,21.0,-8.1,0.0,1.7,52,1,4,5,49.0
0.003,0.7,0.003,0.04,38.0,22.0,-8.1,0.0,2.2,47,1,4,6,47.0
0.003,0.8,0.002,0.045,37.0,22.0,-8.3,0.0,2.4,51,1,4,7,47.0
0.003,0.9,0.003,0.047,40.0,21.0,-8.1,0.0,2.3,48,1,4,8,44.0
0.004,0.9,0.005,0.044,44.0,24.0,-7.6,0.0,2.5,48,1,4,9,39.0
0.003,0.9,0.008,0.042,46.0,27.0,-5.6,0.0,1.3,43,1,4,10,36.0
0.004,0.7,0.014,0.035,48.0,27.0,-3.0,0.0,2.4,40,1,4,11,22.0
0.004,0.6,0.02,0.025,35.0,20.0,-1.5,0.0,2.4,40,1,4,12,24.0
0.003,0.6,0.019,0.025,39.0,22.0,-0.6,0.0,1.9,41,1,4,13,26.0
0.004,0.6,0.017,0.028,44.0,24.0,-0.4,0.0,1.6,40,1,4,14,27.0
0.004,0.6,0.014,0.031,46.0,25.0,0.0,0.0,1.6,40,1,4,15,28.0
0.002,0.6,0.012,0.035,44.0,29.0,0.2,0.0,1.3,42,1,4,16,29.0
0.003,0.7,0.007,0.043,43.0,23.0,-0.3,0.0,1.2,51,1,4,17,32.0
0.004,0.7,0.003,0.051,40.0,25.0,-0.9,0.0,1.0,52,1,4,18,38.0
0.004,0.7,0.002,0.048,40.0,22.0,-0.9,0.0,1.8,49,1,4,19,34.0
0.004,0.6,0.002,0.046,46.0,26.0,-0.7,0.0,0.7,51,1,4,20,36.0
0.004,0.7,0.002,0.049,48.0,28.0,-0.5,0.0,2.3,57,1,4,21,34.0
0.004,0.7,0.002,0.048,49.0,28.0,-0.6,0.0,2.6,54,1,4,22,36.0
0.004,0.6,0.008,0.035,46.0,27.0,-1.3,0.0,1.0,69,1,4,23,33.0
0.003,0.5,0.016,0.023,47.0,25.0,-2.1,0.0,2.4,73,1,5,0,36.0
0.002,0.5,0.013,0.026,39.0,24.0,-2.5,0.0,0.5,75,1,5,1,32.0
0.002,0.6,0.007,0.032,45.0,29.0,-2.5,0.0,1.4,77,1,5,2,31.0
0.003,0.6,0.013,0.026,43.0,28.0,-2.5,0.0,1.0,76,1,5,3,33.0
0.003,0.6,0.022,0.015,44.0,29.0,-2.7,0.0,2.2,78,1,5,4,38.0
0.002,0.5,0.023,0.015,38.0,25.0,-3.9,0.0,2.7,82,1,5,5,36.0
0.004,0.4,0.024,0.014,34.0,20.0,-4.2,0.0,3.7,80,1,5,6,38.0
0.003,0.4,0.023,0.016,28.0,17.0,-4.8,0.0,2.5,77,1,5,7,37.0
0.004,0.5,0.019,0.021,30.0,17.0,-5.6,0.0,3.1,75,1,5,8,40.0
0.004,0.5,0.02,0.021,36.0,19.0,-5.8,0.0,3.3,67,1,5,9,44.0
0.003,0.4,0.028,0.016,35.0,22.0,-5.2,0.0,3.9,46,1,5,10,46.0
0.003,0.4,0.028,0.016,35.0,22.0,-4.6,0.0,4.4,36,1,5,11,48.0
0.003,0.4,0.028,0.016,35.0,22.0,-4.6,0.0,4.4,33,1,5,12,35.0
0.003,0.4,0.033,0.012,30.0,12.0,-4.1,0.0,4.8,34,1,5,13,39.0
0.003,0.4,0.031,0.016,25.0,12.0,-4.2,0.0,4.3,33,1,5,14,44.0
0.003,0.4,0.032,0.015,23.0,9.0,-3.8,0.0,4.2,35,1,5,15,46.0
0.003,0.4,0.031,0.015,25.0,9.0,-3.6,0.0,3.3,33,1,5,16,44.0
0.002,0.4,0.029,0.018,22.0,10.0,-4.5,0.0,3.6,31,1,5,17,43.0
0.002,0.4,0.025,0.021,19.0,6.0,-5.7,0.0,2.8,34,1,5,18,40.0
0.002,0.5,0.024,0.021,17.0,9.0,-6.5,0.0,1.9,39,1,5,19,40.0
0.002,0.4,0.028,0.016,17.0,9.0,-7.1,0.0,3.6,41,1,5,20,46.0
0.004,0.4,0.031,0.012,14.0,8.0,-7.6,0.0,4.9,43,1,5,21,48.0
0.003,0.4,0.028,0.014,20.0,11.0,-8.5,0.0,2.5,51,1,5,22,49.0
0.002,0.4,0.028,0.012,20.0,12.0,-9.5,0.0,0.9,53,1,5,23,46.0
0.003,0.4,0.026,0.014,20.0,13.0,-9.9,0.0,1.8,54,1,6,0,47.0
0.002,0.5,0.022,0.018,20.0,13.0,-10.3,0.0,1.8,57,1,6,1,39.0
0.003,0.5,0.012,0.027,23.0,16.0,-10.6,0.0,1.9,57,1,6,2,45.0
0.002,0.5,0.019,0.019,20.0,13.0,-11.1,0.0,1.7,61,1,6,3,43.0
0.002,0.5,0.018,0.019,19.0,13.0,-11.2,0.0,1.3,64,1,6,4,44.0
0.003,0.5,0.02,0.019,19.0,12.0,-11.6,0.0,1.3,64,1,6,5,38.0
0.002,0.6,0.004,0.039,21.0,14.0,-11.7,0.0,0.8,62,1,6,6,34.0
0.002,0.7,0.002,0.043,24.0,13.0,-11.9,0.0,2.2,61,1,6,7,28.0
0.003,0.7,0.004,0.047,25.0,14.0,-11.7,0.0,2.4,64,1,6,8,30.0
0.003,0.7,0.008,0.04,28.0,16.0,-10.7,0.0,1.4,62,1,6,9,36.0
0.003,0.5,0.023,0.02,33.0,18.0,-8.2,0.0,1.6,53,1,6,10,35.0
0.003,0.5,0.026,0.019,38.0,24.0,-7.0,0.0,2.4,46,1,6,11,35.0
0.004,0.5,0.029,0.018,28.0,15.0,-6.0,0.0,2.3,37,1,6,12,35.0
0.003,0.4,0.031,0.015,11.0,5.0,-4.6,0.0,3.0,30,1,6,13,30.0
0.003,0.4,0.031,0.015,23.0,12.0,-3.6,0.0,3.1,26,1,6,14,25.0
0.004,0.4,0.024,0.025,28.0,15.0,-2.3,0.0,1.9,26,1,6,15,23.0
0.003,0.5,0.018,0.03,32.0,16.0,-2.2,0.0,2.9,25,1,6,16,25.0
0.004,0.5,0.012,0.038,32.0,15.0,-3.2,0.0,2.6,27,1,6,17,22.0
0.004,0.4,0.017,0.031,32.0,14.0,-3.7,0.0,2.7,28,1,6,18,19.0
0.002,0.5,0.017,0.028,32.0,14.0,-4.2,0.0,3.4,60,1,6,19,17.0
0.003,0.6,0.008,0.038,33.0,14.0,-5.5,0.0,1.7,87,1,6,20,17.0
0.003,0.6,0.009,0.034,25.0,16.0,-5.1,2.2,2.0,89,1,6,21,14.0
0.002,0.5,0.028,0.012,33.0,15.0,-4.7,0.0,3.5,77,1,6,22,20.0
0.003,0.5,0.031,0.009,42.0,16.0,-5.6,0.0,3.4,76,1,6,23,20.0
0.003,0.5,0.031,0.007,60.0,17.0,-8.3,0.1,6.4,72,1,7,0,20.0
0.003,0.4,0.029,0.007,54.0,17.0,-9.6,0.0,4.4,75,1,7,1,20.0
0.003,0.4,0.026,0.007,72.0,17.0,-11.6,0.0,5.0,54,1,7,2,23.0
0.002,0.4,0.027,0.006,54.0,12.0,-13.2,0.0,5.6,55,1,7,3,20.0
0.003,0.3,0.026,0.006,47.0,11.0,-14.3,0.0,3.4,59,1,7,4,19.0
0.003,0.4,0.025,0.007,46.0,10.0,-15.0,0.0,5.6,56,1,7,5,19.0
0.002,0.4,0.023,0.008,49.0,11.0,-15.6,0.0,5.5,58,1,7,6,21.0
0.002,0.4,0.018,0.014,44.0,12.0,-16.1,0.0,5.3,55,1,7,7,24.0
0.002,0.4,0.017,0.014,45.0,12.0,-16.4,0.0,4.3,55,1,7,8,25.0
0.002,0.5,0.019,0.012,44.0,12.0,-16.2,0.0,2.8,56,1,7,9,28.0
0.002,0.4,0.022,0.012,50.0,16.0,-15.3,0.0,5.4,50,1,7,10,33.0
0.002,0.4,0.024,0.01,44.0,16.0,-14.8,0.0,5.4,48,1,7,11,38.0
0.002,0.4,0.026,0.01,41.0,16.0,-13.8,0.0,5.4,45,1,7,12,28.0
0.002,0.4,0.029,0.01,34.0,13.0,-13.1,0.0,4.2,42,1,7,13,11.0
0.003,0.4,0.03,0.011,48.0,13.0,-12.4,0.0,4.4,40,1,7,14,23.0
0.003,0.4,0.03,0.012,48.0,13.0,-12.4,0.0,4.8,38,1,7,15,28.0
0.004,0.4,0.025,0.017,48.0,13.0,-12.3,0.0,4.6,37,1,7,16,32.0
0.003,0.4,0.024,0.015,48.0,13.0,-13.0,0.0,4.5,38,1,7,17,32.0
0.004,0.5,0.02,0.019,48.0,13.0,-13.7,0.0,1.6,45,1,7,18,32.0
0.003,0.5,0.021,0.016,48.0,13.0,-14.2,0.0,2.1,46,1,7,19,32.0
0.003,0.4,0.024,0.013,17.0,11.0,-14.6,0.0,1.4,47,1,7,20,33.0
0.003,0.4,0.022,0.014,14.0,10.0,-14.9,0.0,2.9,50,1,7,21,25.0
0.003,0.4,0.025,0.01,18.0,14.0,-15.3,0.0,2.5,54,1,7,22,33.0
0.002,0.4,0.027,0.009,15.0,9.0,-15.5,0.0,3.3,54,1,7,23,42.0
0.003,0.4,0.027,0.008,15.0,10.0,-15.9,0.0,2.5,52,1,8,0,60.0
0.003,0.4,0.027,0.007,16.0,11.0,-16.5,0.0,1.9,50,1,8,1,54.0
0.003,0.4,0.025,0.008,21.0,13.0,-16.9,0.0,2.4,52,1,8,2,72.0
0.004,0.4,0.024,0.008,22.0,12.0,-17.2,0.0,3.8,47,1,8,3,54.0
0.004,0.4,0.026,0.007,26.0,13.0,-17.5,0.0,3.0,47,1,8,4,47.0
0.003,0.5,0.024,0.01,24.0,12.0,-17.8,0.0,2.9,47,1,8,5,46.0
0.003,0.4,0.023,0.011,23.0,12.0,-17.8,0.0,3.7,47,1,8,6,49.0
0.004,0.4,0.019,0.015,20.0,11.0,-18.2,0.0,1.9,46,1,8,7,44.0
0.003,0.5,0.015,0.02,23.0,11.0,-18.5,0.0,2.1,49,1,8,8,45.0
0.003,0.6,0.016,0.021,24.0,10.0,-17.9,0.0,1.9,46,1,8,9,44.0
0.003,0.5,0.02,0.018,27.0,13.0,-15.6,0.0,3.4,39,1,8,10,50.0
0.003,0.4,0.027,0.012,26.0,13.0,-14.5,0.0,2.3,38,1,8,11,44.0
0.004,0.4,0.029,0.01,23.0,17.0,-13.4,0.0,3.2,37,1,8,12,41.0
0.003,0.4,0.03,0.01,18.0,10.0,-12.2,0.0,3.8,38,1,8,13,34.0
0.003,0.4,0.03,0.01,17.0,9.0,-11.6,0.0,3.9,36,1,8,14,48.0
0.003,0.4,0.031,0.011,20.0,11.0,-11.2,0.0,5.6,36,1,8,15,48.0
0.004,0.4,0.029,0.013,20.0,8.0,-11.3,0.0,5.8,35,1,8,16,48.0
0.003,0.5,0.023,0.019,19.0,11.0,-11.7,0.0,2.7,39,1,8,17,48.0
0.002,0.5,0.023,0.018,17.0,9.0,-12.6,0.0,3.0,41,1,8,18,48.0
0.003,0.5,0.026,0.015,15.0,9.0,-13.1,0.0,3.4,42,1,8,19,48.0
0.003,0.5,0.026,0.014,18.0,13.0,-13.5,0.0,3.3,47,1,8,20,17.0
0.003,0.5,0.024,0.014,20.0,14.0,-14.1,0.0,3.2,51,1,8,21,14.0
0.004,0.5,0.024,0.014,17.0,16.0,-14.5,0.0,2.7,54,1,8,22,18.0
0.003,0.5,0.028,0.01,19.0,14.0,-15.2,0.0,2.9,55,1,8,23,15.0
0.004,0.5,0.025,0.013,20.0,11.0,-15.4,0.0,3.1,47,1,9,0,15.0
0.005,0.5,0.023,0.014,20.0,12.0,-15.3,0.0,1.9,44,1,9,1,16.0
0.004,0.5,0.021,0.017,25.0,17.0,-15.1,0.0,1.9,47,1,9,2,21.0
0.004,0.6,0.019,0.017,24.0,15.0,-14.8,0.0,2.6,42,1,9,3,22.0
0.005,0.6,0.017,0.019,25.0,17.0,-15.7,0.0,1.4,43,1,9,4,26.0
0.002,0.6,0.015,0.02,25.0,16.0,-16.0,0.0,1.2,48,1,9,5,24.0
0.003,0.5,0.015,0.019,25.0,18.0,-16.4,0.0,1.1,50,1,9,6,23.0
0.003,0.6,0.008,0.027,26.0,17.0,-16.3,0.0,1.0,48,1,9,7,20.0
0.004,0.6,0.011,0.026,27.0,17.0,-16.2,0.0,1.5,51,1,9,8,23.0
0.004,0.6,0.015,0.023,27.0,13.0,-15.2,0.0,0.6,50,1,9,9,24.0
0.004,0.7,0.014,0.027,33.0,20.0,-12.5,0.0,1.0,45,1,9,10,27.0
0.004,0.6,0.017,0.026,36.0,23.0,-11.0,0.0,3.3,37,1,9,11,26.0
0.003,0.4,0.029,0.01,28.0,19.0,-10.1,0.0,3.8,37,1,9,12,23.0
0.003,0.4,0.031,0.009,27.0,16.0,-9.3,0.0,4.1,37,1,9,13,18.0
0.004,0.4,0.032,0.009,29.0,20.0,-8.7,0.0,5.8,38,1,9,14,17.0
0.004,0.4,0.031,0.011,33.0,21.0,-8.2,0.0,3.4,38,1,9,15,20.0
0.003,0.4,0.032,0.01,29.0,17.0,-7.7,0.0,3.9,39,1,9,16,20.0
0.003,0.4,0.031,0.011,22.0,14.0,-8.9,0.0,5.4,40,1,9,17,19.0
0.002,0.4,0.027,0.014,21.0,12.0,-9.7,0.0,3.1,43,1,9,18,17.0
0.003,0.5,0.026,0.014,24.0,14.0,-10.2,0.0,4.2,44,1,9,19,15.0
0.003,0.4,0.027,0.013,26.0,18.0,-10.7,0.0,2.1,48,1,9,20,18.0
0.003,0.5,0.025,0.014,22.0,15.0,-10.9,0.0,2.9,53,1,9,21,20.0
0.004,0.5,0.025,0.014,24.0,21.0,-11.2,0.0,2.3,55,1,9,22,17.0
0.003,0.5,0.019,0.019,26.0,18.0,-11.7,0.0,1.8,56,1,9,23,19.0
0.003,0.6,0.017,0.023,25.0,19.0,-12.2,0.0,1.7,57,1,10,0,20.0
0.004,0.7,0.013,0.026,28.0,19.0,-12.4,0.0,1.4,57,1,10,1,20.0
0.005,0.7,0.015,0.024,29.0,22.0,-12.3,0.0,1.4,55,1,10,2,25.0
0.003,0.7,0.005,0.036,30.0,21.0,-12.2,0.0,1.5,55,1,10,3,24.0
0.004,0.8,0.002,0.039,30.0,24.0,-12.5,0.0,0.9,58,1,10,4,25.0
0.002,0.8,0.002,0.041,32.0,23.0,-12.5,0.0,0.6,63,1,10,5,25.0
0.003,0.9,0.002,0.042,34.0,27.0,-12.6,0.0,1.0,65,1,10,6,25.0
0.002,0.9,0.002,0.044,33.0,26.0,-12.7,0.0,1.0,67,1,10,7,26.0
0.003,0.9,0.005,0.039,34.0,27.0,-12.6,0.0,0.3,68,1,10,8,27.0
0.003,1.0,0.008,0.037,39.0,27.0,-12.2,0.0,2.4,69,1,10,9,27.0
0.004,0.9,0.011,0.035,48.0,36.0,-9.7,0.0,1.1,63,1,10,10,33.0
0.004,0.8,0.017,0.028,48.0,35.0,-7.3,0.0,1.7,51,1,10,11,36.0
0.003,0.7,0.019,0.026,43.0,32.0,-6.0,0.0,1.3,46,1,10,12,28.0
0.004,0.7,0.018,0.028,41.0,30.0,-3.8,0.0,1.2,41,1,10,13,27.0
0.004,0.7,0.015,0.032,44.0,34.0,-2.8,0.0,1.5,39,1,10,14,29.0
0.004,0.6,0.015,0.032,40.0,29.0,-3.2,0.0,1.3,38,1,10,15,33.0
0.004,0.6,0.011,0.035,37.0,28.0,-3.3,0.0,1.9,40,1,10,16,29.0
0.003,0.6,0.01,0.034,33.0,23.0,-3.6,0.0,1.5,45,1,10,17,22.0
0.003,0.6,0.01,0.034,32.0,22.0,-4.2,0.0,0.5,45,1,10,18,21.0
0.003,0.5,0.017,0.025,26.0,18.0,-4.4,0.0,0.9,48,1,10,19,24.0
0.003,0.6,0.004,0.041,31.0,21.0,-4.6,0.0,0.9,51,1,10,20,26.0
0.003,0.7,0.002,0.045,36.0,23.0,-4.8,0.0,1.2,53,1,10,21,22.0
0.002,0.8,0.003,0.044,42.0,30.0,-5.4,0.0,1.9,58,1,10,22,24.0
0.003,0.6,0.01,0.03,36.0,26.0,-6.3,0.0,1.0,57,1,10,23,26.0
0.003,0.5,0.019,0.019,39.0,26.0,-6.6,0.0,2.5,64,1,11,0,25.0
0.003,0.5,0.02,0.019,39.0,27.0,-7.1,0.0,2.6,66,1,11,1,28.0
0.003,0.6,0.01,0.028,43.0,30.0,-7.9,0.0,2.8,69,1,11,2,29.0
0.003,0.7,0.008,0.034,39.0,26.0,-8.5,0.0,1.2,67,1,11,3,30.0
0.003,0.8,0.004,0.038,41.0,29.0,-9.1,0.0,1.3,67,1,11,4,30.0
0.002,0.8,0.004,0.038,40.0,28.0,-9.5,0.0,1.1,69,1,11,5,32.0
0.004,0.9,0.003,0.042,42.0,30.0,-9.5,0.0,1.5,71,1,11,6,34.0
0.004,1.0,0.002,0.05,46.0,31.0,-9.1,0.0,0.9,72,1,11,7,33.0
0.004,1.1,0.003,0.053,49.0,35.0,-8.8,0.0,1.5,68,1,11,8,34.0
0.003,1.0,0.003,0.047,51.0,36.0,-8.4,0.0,3.0,71,1,11,9,39.0
0.004,1.0,0.004,0.047,59.0,39.0,-7.7,0.0,2.3,71,1,11,10,48.0
0.004,1.0,0.005,0.044,62.0,43.0,-6.7,0.0,2.4,68,1,11,11,48.0
0.004,0.9,0.007,0.044,72.0,46.0,-6.1,0.0,2.6,63,1,11,12,43.0
0.004,0.9,0.008,0.042,62.0,44.0,-5.0,0.0,2.7,58,1,11,13,41.0
0.004,0.9,0.008,0.039,47.0,31.0,-4.3,0.0,2.2,54,1,11,14,44.0
0.003,0.8,0.007,0.041,48.0,36.0,-4.1,0.0,2.1,51,1,11,15,40.0
0.003,0.8,0.005,0.04,46.0,33.0,-4.1,0.0,2.1,52,1,11,16,37.0
0.004,0.8,0.003,0.043,43.0,31.0,-4.2,0.0,1.7,51,1,11,17,33.0
0.004,0.9,0.002,0.047,43.0,32.0,-5.1,0.0,2.1,53,1,11,18,32.0
0.003,0.9,0.003,0.052,39.0,29.0,-5.4,0.0,1.3,54,1,11,19,26.0
0.003,1.0,0.002,0.054,44.0,35.0,-5.7,0.0,1.4,55,1,11,20,31.0
0.005,0.8,0.001,0.046,44.0,35.0,-5.9,0.0,1.3,58,1,11,21,36.0
0.003,0.9,0.002,0.051,49.0,38.0,-6.6,0.0,2.3,61,1,11,22,42.0
0.004,1.0,0.002,0.052,43.0,35.0,-6.7,0.0,0.7,62,1,11,23,36.0
0.003,1.1,0.002,0.058,50.0,39.0,-6.1,0.0,1.9,63,1,12,0,39.0
0.004,1.2,0.003,0.056,56.0,44.0,-6.3,0.0,1.1,63,1,12,1,39.0
0.003,0.9,0.002,0.046,59.0,44.0,-7.5,0.0,2.0,68,1,12,2,43.0
0.002,1.0,0.002,0.049,51.0,43.0,-8.2,0.0,2.4,71,1,12,3,39.0
0.003,1.1,0.002,0.052,56.0,43.0,-8.6,0.0,2.3,73,1,12,4,41.0
0.003,1.0,0.002,0.048,52.0,43.0,-8.9,0.0,2.1,73,1,12,5,40.0
0.002,1.0,0.002,0.048,56.0,43.0,-9.1,0.0,2.5,76,1,12,6,42.0
0.003,1.1,0.002,0.053,52.0,44.0,-9.3,0.0,2.4,77,1,12,7,46.0
0.003,1.3,0.003,0.052,57.0,47.0,-9.1,0.0,2.8,78,1,12,8,49.0
0.003,1.2,0.004,0.053,60.0,48.0,-7.7,0.0,3.0,76,1,12,9,51.0
0.003,1.1,0.005,0.046,72.0,56.0,-5.6,0.0,2.3,69,1,12,10,59.0
0.004,0.9,0.007,0.046,73.0,58.0,-3.9,0.0,1.6,66,1,12,11,62.0
0.005,1.0,0.007,0.049,73.0,59.0,-1.9,0.0,2.7,63,1,12,12,72.0
0.003,0.9,0.005,0.047,71.0,58.0,-1.0,0.0,1.3,61,1,12,13,62.0
0.004,0.9,0.004,0.047,64.0,50.0,-0.7,0.0,1.0,65,1,12,14,47.0
0.003,1.0,0.003,0.048,60.0,45.0,-0.8,0.1,2.4,74,1,12,15,48.0
0.003,0.9,0.003,0.047,73.0,58.0,-1.5,0.0,0.8,88,1,12,16,46.0
0.003,1.1,0.002,0.055,71.0,59.0,-1.1,0.0,1.0,91,1,12,17,43.0
0.004,1.3,0.002,0.064,79.0,67.0,-0.8,2.3,1.6,91,1,12,18,43.0
0.003,1.4,0.002,0.064,82.0,67.0,-1.3,0.0,2.2,91,1,12,19,39.0
0.004,1.4,0.002,0.065,85.0,67.0,-1.2,0.0,2.2,93,1,12,20,44.0
0.004,1.4,0.002,0.067,85.0,67.0,-0.9,0.2,0.2,92,1,12,21,44.0
0.004,1.2,0.002,0.059,84.0,63.0,-1.5,0.0,1.6,92,1,12,22,49.0
0.003,1.0,0.002,0.052,79.0,53.0,-1.8,0.0,1.1,93,1,12,23,43.0
0.003,1.0,0.002,0.053,77.0,54.0,-2.0,0.0,1.9,93,1,13,0,50.0
0.002,0.9,0.002,0.048,79.0,51.0,-2.1,0.0,2.2,95,1,13,1,56.0
0.003,1.0,0.002,0.051,83.0,53.0,-2.1,0.0,1.8,95,1,13,2,59.0
0.003,1.1,0.002,0.052,78.0,55.0,-2.4,0.0,1.7,94,1,13,3,51.0
0.003,1.0,0.002,0.047,81.0,52.0,-2.8,0.0,2.3,94,1,13,4,56.0
0.004,1.0,0.002,0.046,78.0,50.0,-2.9,0.0,2.0,94,1,13,5,52.0
0.004,1.1,0.002,0.049,82.0,55.0,-2.7,0.0,1.7,94,1,13,6,56.0
0.003,1.1,0.002,0.051,83.0,55.0,-3.0,0.0,2.5,94,1,13,7,52.0
0.004,1.4,0.003,0.054,89.0,55.0,-2.9,0.0,2.5,93,1,13,8,57.0
0.003,1.2,0.004,0.051,97.0,59.0,-2.1,0.0,2.4,94,1,13,9,60.0
0.003,1.1,0.005,0.052,117.0,61.0,-0.6,0.0,2.2,91,1,13,10,72.0
0.004,1.1,0.006,0.056,127.0,64.0,1.4,0.0,2.1,84,1,13,11,73.0
0.005,1.1,0.007,0.055,142.0,70.0,2.9,0.0,2.2,77,1,13,12,73.0
0.005,0.9,0.01,0.051,138.0,54.0,4.4,0.0,2.0,75,1,13,13,71.0
0.005,0.6,0.022,0.031,141.0,44.0,7.3,0.0,3.3,66,1,13,14,64.0
0.005,0.6,0.026,0.029,128.0,37.0,8.2,0.0,3.4,65,1,13,15,60.0
0.004,0.6,0.024,0.031,111.0,37.0,8.0,0.0,4.8,69,1,13,16,73.0
0.004,0.7,0.017,0.038,104.0,34.0,7.3,0.0,3.5,73,1,13,17,71.0
0.005,0.8,0.006,0.051,103.0,36.0,6.9,0.0,2.2,77,1,13,18,79.0
0.005,0.9,0.003,0.053,104.0,40.0,5.8,0.0,2.1,80,1,13,19,82.0
0.004,0.7,0.01,0.038,106.0,39.0,5.1,0.0,2.8,82,1,13,20,85.0
